region,offense,incident_count,offense_count,year
Northeast,identity-theft,1,1,2012
Northeast,identity-theft,40,40,2015
Northeast,identity-theft,2,2,2014
Northeast,identity-theft,3873,3873,2018
Northeast,identity-theft,438,438,2016
Northeast,identity-theft,1,1,2006
Northeast,identity-theft,1656,1656,2017
Northeast,impersonation,12661,12661,2015
Northeast,impersonation,7744,7744,2014
Northeast,impersonation,26,26,1995
Northeast,impersonation,7829,7829,2018
Northeast,impersonation,2568,2568,2004
Northeast,impersonation,10097,10097,2016
Northeast,impersonation,5811,5811,2008
Northeast,impersonation,5824,5824,2009
Northeast,impersonation,15,15,1996
Northeast,impersonation,2,2,1993
Northeast,impersonation,3753,3753,2006
Northeast,impersonation,1781,1781,2003
Northeast,impersonation,8848,8848,2017
Northeast,impersonation,4750,4750,2007
Northeast,impersonation,58,58,1998
Northeast,impersonation,19,19,1997
Northeast,impersonation,5438,5438,2010
Northeast,impersonation,6524,6524,2013
Northeast,impersonation,7562,7562,2019
Northeast,impersonation,121,121,1999
Northeast,impersonation,8,8,1994
Northeast,impersonation,1115,1115,2002
Northeast,impersonation,6585,6585,2012
Northeast,impersonation,424,424,2000
Northeast,impersonation,766,766,2001
Northeast,impersonation,5970,5970,2011
Northeast,impersonation,3142,3142,2005
Northeast,incest,12,17,1996
Northeast,incest,209,225,2009
Northeast,incest,211,235,2008
Northeast,incest,198,216,2016
Northeast,incest,137,154,2004
Northeast,incest,190,198,2018
Northeast,incest,13,14,1995
Northeast,incest,222,250,2015
Northeast,incest,225,254,2014
Northeast,incest,6,7,1998
Northeast,incest,9,10,1997
Northeast,incest,189,207,2007
Northeast,incest,198,213,2017
Northeast,incest,169,187,2006
Northeast,incest,136,152,2003
Northeast,incest,1,1,1993
Northeast,incest,15,17,2000
Northeast,incest,230,259,2012
Northeast,incest,46,51,2002
Northeast,incest,5,5,1994
Northeast,incest,136,153,2019
Northeast,incest,23,27,1999
Northeast,incest,204,240,2010
Northeast,incest,233,264,2013
Northeast,incest,178,194,2005
Northeast,incest,231,263,2011
Northeast,incest,29,33,2001
Northeast,intimidation,24668,27816,2007
Northeast,intimidation,21207,23801,2017
Northeast,intimidation,4474,4808,1998
Northeast,intimidation,3591,3900,1997
Northeast,intimidation,21230,23762,2006
Northeast,intimidation,16467,18510,2003
Northeast,intimidation,1,2,1993
Northeast,intimidation,3026,3281,1996
Northeast,intimidation,21449,24051,2016
Northeast,intimidation,27161,30128,2009
Northeast,intimidation,27316,30638,2008
Northeast,intimidation,19346,21652,2004
Northeast,intimidation,21245,23959,2015
Northeast,intimidation,22082,24693,2014
Northeast,intimidation,21934,24810,2018
Northeast,intimidation,1743,1848,1995
Northeast,intimidation,20939,23319,2005
Northeast,intimidation,25267,28106,2011
Northeast,intimidation,11089,12345,2001
Northeast,intimidation,7401,8090,2000
Northeast,intimidation,24760,27499,2012
Northeast,intimidation,12729,14200,2002
Northeast,intimidation,47,62,1994
Northeast,intimidation,23465,26442,2019
Northeast,intimidation,5706,6164,1999
Northeast,intimidation,27408,30453,2010
Northeast,intimidation,23229,25893,2013
Northeast,justifiable-homicide,1,1,2011
Northeast,justifiable-homicide,3,3,2005
Northeast,justifiable-homicide,3,3,2001
Northeast,justifiable-homicide,1,1,2000
Northeast,justifiable-homicide,4,4,2012
Northeast,justifiable-homicide,3,4,2013
Northeast,justifiable-homicide,2,2,2010
Northeast,justifiable-homicide,1,1,1999
Northeast,justifiable-homicide,3,3,2019
Northeast,justifiable-homicide,1,3,2003
Northeast,justifiable-homicide,3,3,2006
Northeast,justifiable-homicide,5,5,2017
Northeast,justifiable-homicide,2,2,2008
Northeast,justifiable-homicide,5,5,2016
Northeast,justifiable-homicide,6,6,2018
Northeast,justifiable-homicide,1,2,1995
Northeast,justifiable-homicide,4,4,2014
Northeast,justifiable-homicide,3,3,2015
Northeast,justifiable-homicide,2,2,2004
Northeast,kidnapping-abduction,1366,1488,2008
Northeast,kidnapping-abduction,1488,1634,2009
Northeast,kidnapping-abduction,1097,1189,2016
Northeast,kidnapping-abduction,198,235,1996
Northeast,kidnapping-abduction,142,175,1995
Northeast,kidnapping-abduction,1131,1239,2018
Northeast,kidnapping-abduction,1027,1124,2015
Northeast,kidnapping-abduction,1159,1262,2014
Northeast,kidnapping-abduction,969,1079,2004
Northeast,kidnapping-abduction,1000,1098,2006
Northeast,kidnapping-abduction,768,852,2003
Northeast,kidnapping-abduction,241,279,1998
Northeast,kidnapping-abduction,199,228,1997
Northeast,kidnapping-abduction,1092,1180,2017
Northeast,kidnapping-abduction,1175,1321,2007
Northeast,kidnapping-abduction,1,1,1993
Northeast,kidnapping-abduction,26,28,1994
Northeast,kidnapping-abduction,549,637,2002
Northeast,kidnapping-abduction,1307,1417,2012
Northeast,kidnapping-abduction,448,510,2000
Northeast,kidnapping-abduction,1422,1552,2010
Northeast,kidnapping-abduction,1249,1361,2013
Northeast,kidnapping-abduction,1197,1308,2019
Northeast,kidnapping-abduction,312,359,1999
Northeast,kidnapping-abduction,1434,1553,2011
Northeast,kidnapping-abduction,1085,1225,2005
Northeast,kidnapping-abduction,504,564,2001
Northeast,motor-vehicle-theft,15454,15933,2010
Northeast,motor-vehicle-theft,13267,13686,2013
Northeast,motor-vehicle-theft,12651,13197,2019
Northeast,motor-vehicle-theft,7557,7720,1999
Northeast,motor-vehicle-theft,341,364,1994
Northeast,motor-vehicle-theft,14580,14911,2002
Northeast,motor-vehicle-theft,13917,14343,2012
Northeast,motor-vehicle-theft,10139,10354,2000
Northeast,motor-vehicle-theft,13033,13311,2001
Northeast,motor-vehicle-theft,14749,15190,2011
Northeast,motor-vehicle-theft,18012,18502,2005
Northeast,motor-vehicle-theft,11936,12362,2015
Northeast,motor-vehicle-theft,12009,12425,2014
Northeast,motor-vehicle-theft,4517,4615,1995
Northeast,motor-vehicle-theft,13656,14222,2018
Northeast,motor-vehicle-theft,17094,17647,2004
Northeast,motor-vehicle-theft,13029,13491,2016
Northeast,motor-vehicle-theft,18788,19381,2008
Northeast,motor-vehicle-theft,16239,16759,2009
Northeast,motor-vehicle-theft,5056,5158,1996
Northeast,motor-vehicle-theft,6,6,1993
Northeast,motor-vehicle-theft,17320,17875,2006
Northeast,motor-vehicle-theft,16451,16889,2003
Northeast,motor-vehicle-theft,13845,14409,2017
Northeast,motor-vehicle-theft,18553,19113,2007
Northeast,motor-vehicle-theft,6947,7076,1998
